,學年度,設立別,學校類別,學校統計處代碼,學校名稱,單位代碼,單位名稱,兼任教師數-教師總數總計,兼任教師數-教師總數男,兼任教師數-教師總數女,兼任教師數-教授男,兼任教師數-教授女,兼任教師數-副教授男,兼任教師數-副教授女,兼任教師數-助理教授男,兼任教師數-助理教授女,兼任教師數-講師男,兼任教師數-講師女,兼任教師數-其他教師男,兼任教師數-其他教師女,兼任助理教授以上人數-總計,兼任助理教授以上人數-男,兼任助理教授以上人數-女,兼任講師以上人數-總計,兼任講師以上人數-男,兼任講師以上人數-女
87,112,公立,技專校院,51,國立臺北商業大學,02122015,商業設計管理系,12,8,4,0,0,0,0,3,0,5,4,0,0,3,3,0,12,8,4
88,112,公立,技專校院,51,國立臺北商業大學,02122024,創意設計與經營研究所,2,1,1,0,0,0,1,1,0,0,0,0,0,2,1,1,2,1,1
89,112,公立,技專校院,51,國立臺北商業大學,02122026,創意科技與產品設計系,4,3,1,0,0,0,0,1,0,2,1,0,0,1,1,0,4,3,1
90,112,公立,技專校院,51,國立臺北商業大學,02311006,應用外語系,39,25,14,1,0,3,0,3,3,18,11,0,0,10,7,3,39,25,14
91,112,公立,技專校院,51,國立臺北商業大學,04111009,會計資訊系,27,18,9,2,0,4,0,8,2,4,7,0,0,16,14,2,27,18,9
92,112,公立,技專校院,51,國立臺北商業大學,04111027,會計與資料科學科,4,4,0,0,0,1,0,0,0,3,0,0,0,1,1,0,4,4,0
93,112,公立,技專校院,51,國立臺北商業大學,04121013,財務金融系,14,10,4,0,0,0,0,4,1,6,3,0,0,5,4,1,14,10,4
94,112,公立,技專校院,51,國立臺北商業大學,04122014,財政稅務系,31,17,14,0,1,3,3,5,6,9,4,0,0,18,8,10,31,17,14
95,112,公立,技專校院,51,國立臺北商業大學,04131010,企業管理系,49,28,21,2,0,6,6,8,4,12,11,0,0,26,16,10,49,28,21
96,112,公立,技專校院,51,國立臺北商業大學,04141012,國際商務系,30,15,15,0,0,3,0,4,6,8,9,0,0,13,7,6,30,15,15
97,112,公立,技專校院,51,國立臺北商業大學,06131017,資訊管理系,27,20,7,0,1,4,3,6,0,10,3,0,0,14,10,4,27,20,7
98,112,公立,技專校院,51,國立臺北商業大學,99999Z01,通識教育中心,65,30,35,2,0,2,1,17,23,9,11,0,0,45,21,24,65,30,35
99,112,公立,技專校院,51,國立臺北商業大學,99999Z03,軍訓教官,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
100,112,公立,技專校院,51,國立臺北商業大學,99999Z07,體育室,15,10,5,1,1,0,0,4,1,5,3,0,0,7,5,2,15,10,5
