,學年度,設立別,學校類別,學校統計處代碼,學校名稱,單位代碼,單位名稱,專任教師數-教師總數總計,專任教師數-教師總數男,專任教師數-教師總數女,專任教師數-教授男,專任教師數-教授女,專任教師數-副教授男,專任教師數-副教授女,專任教師數-助理教授男,專任教師數-助理教授女,專任教師數-講師男,專任教師數-講師女,專任教師數-其他教師男,專任教師數-其他教師女,專任助理教授以上人數-總計,專任助理教授以上人數-男,專任助理教授以上人數-女,專任講師以上人數-總計,專任講師以上人數-男,專任講師以上人數-女
106,112,公立,技專校院,51,國立臺北商業大學,02122024,創意設計與經營研究所,5,5,0,2,0,2,0,1,0,0,0,0,0,5,5,0,5,5,0
107,112,公立,技專校院,51,國立臺北商業大學,02122026,創意科技與產品設計系,8,4,4,1,1,1,1,2,2,0,0,0,0,8,4,4,8,4,4
108,112,公立,技專校院,51,國立臺北商業大學,02311006,應用外語系,15,4,11,0,4,3,2,1,4,0,1,0,0,14,4,10,15,4,11
109,112,公立,技專校院,51,國立臺北商業大學,04111009,會計資訊系,16,6,10,4,4,0,5,1,1,1,0,0,0,15,5,10,16,6,10
110,112,公立,技專校院,51,國立臺北商業大學,04111027,會計與資料科學科,6,3,3,0,1,1,1,2,0,0,1,0,0,5,3,2,6,3,3
111,112,公立,技專校院,51,國立臺北商業大學,04121013,財務金融系,20,11,9,3,4,6,3,2,1,0,1,0,0,19,11,8,20,11,9
112,112,公立,技專校院,51,國立臺北商業大學,04122014,財政稅務系,18,10,8,2,2,6,4,2,1,0,1,0,0,17,10,7,18,10,8
113,112,公立,技專校院,51,國立臺北商業大學,04131010,企業管理系,32,18,14,6,0,4,5,7,9,1,0,0,0,31,17,14,32,18,14
114,112,公立,技專校院,51,國立臺北商業大學,04141012,國際商務系,25,13,12,5,3,5,6,1,0,2,3,0,0,20,11,9,25,13,12
115,112,公立,技專校院,51,國立臺北商業大學,04191025,財經學院博士班,2,2,0,1,0,1,0,0,0,0,0,0,0,2,2,0,2,2,0
116,112,公立,技專校院,51,國立臺北商業大學,04199021,貿易實務法律暨談判碩士學位學程,2,2,0,1,0,0,0,1,0,0,0,0,0,2,2,0,2,2,0
117,112,公立,技專校院,51,國立臺北商業大學,06131017,資訊管理系,20,16,4,4,0,6,2,6,1,0,1,0,0,19,16,3,20,16,4
118,112,公立,技專校院,51,國立臺北商業大學,06131018,資訊與決策科學研究所,7,7,0,6,0,0,0,1,0,0,0,0,0,7,7,0,7,7,0
119,112,公立,技專校院,51,國立臺北商業大學,99999Z01,通識教育中心,20,13,7,2,2,5,4,6,0,0,0,0,1,19,13,6,19,13,6
120,112,公立,技專校院,51,國立臺北商業大學,99999Z03,軍訓教官,12,9,3,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0
121,112,公立,技專校院,51,國立臺北商業大學,99999Z07,體育室,12,7,5,3,1,3,2,0,2,0,0,1,0,11,6,5,11,6,5
