,Status,Dept_Short,End_Year,Edu_Short,畢業滿_年
3986,畢業,二技數媒,104,日二技,1
3987,畢業,二技數媒,104,日二技,3
3988,畢業,二技數媒,104,日二技,3
3989,畢業,二技數媒,104,日二技,1
3990,畢業,二技數媒,104,日二技,5
3991,畢業,二技數媒,104,日二技,1
3992,畢業,二技數媒,104,日二技,3
3993,畢業,二技數媒,104,日二技,1
3994,畢業,二技數媒,104,日二技,3
3995,畢業,二技數媒,104,日二技,1
3996,畢業,二技數媒,104,日二技,3
3997,畢業,二技數媒,104,日二技,1
3998,畢業,二技數媒,104,日二技,3
3999,畢業,二技數媒,104,日二技,5
4000,畢業,二技數媒,104,日二技,1
4001,畢業,二技數媒,104,日二技,3
4002,畢業,二技數媒,104,日二技,5
4003,畢業,二技數媒,104,日二技,1
4004,畢業,二技數媒,104,日二技,3
4005,畢業,二技數媒,104,日二技,5
4006,畢業,二技數媒,104,日二技,3
4007,畢業,二技數媒,104,日二技,5
4008,畢業,二技數媒,104,日二技,1
4009,畢業,二技數媒,104,日二技,5
4010,畢業,二技數媒,104,日二技,1
4011,畢業,二技數媒,104,日二技,3
4012,畢業,二技數媒,104,日二技,3
4013,畢業,二技數媒,104,日二技,5
4014,畢業,二技數媒,104,日二技,1
4015,畢業,二技數媒,104,日二技,5
4016,畢業,二技數媒,104,日二技,1
4017,畢業,二技數媒,104,日二技,3
4018,畢業,二技數媒,104,日二技,5
4019,畢業,二技數媒,104,日二技,1
4020,畢業,二技數媒,104,日二技,1
4021,畢業,二技數媒,107,日二技,1
4022,畢業,二技數媒,107,日二技,3
4023,畢業,二技數媒,104,日二技,5
4024,畢業,二技數媒,104,日二技,3
4025,畢業,二技數媒,104,日二技,1
4026,畢業,二技數媒,104,日二技,1
4027,畢業,二技數媒,104,日二技,5
4028,畢業,二技數媒,104,日二技,3
4029,畢業,二技數媒,104,日二技,3
4030,畢業,二技數媒,104,日二技,1
4031,畢業,二技數媒,105,日二技,1
4032,畢業,二技數媒,105,日二技,5
4033,畢業,二技數媒,104,日二技,5
4034,畢業,二技數媒,104,日二技,3
4035,畢業,二技數媒,104,日二技,1
4036,畢業,二技數媒,104,日二技,5
4037,畢業,二技數媒,104,日二技,1
4038,畢業,二技數媒,104,日二技,3
4039,畢業,二技數媒,104,日二技,1
4040,畢業,四技會資,106,日四技,3
4041,畢業,四技會資,106,日四技,5
4042,畢業,四技會資,106,日四技,1
4043,畢業,四技會資,106,日四技,3
4044,畢業,四技會資,106,日四技,1
4045,畢業,四技會資,106,日四技,3
4046,畢業,四技會資,106,日四技,3
4047,畢業,四技會資,106,日四技,1
4048,畢業,四技會資,106,日四技,3
4049,畢業,四技會資,107,日四技,1
4050,畢業,四技會資,107,日四技,3
4051,畢業,四技會資,106,日四技,1
4052,畢業,四技會資,106,日四技,3
4053,畢業,四技會資,106,日四技,3
4054,畢業,四技會資,106,日四技,5
4055,畢業,四技會資,106,日四技,1
4056,畢業,四技會資,106,日四技,1
4057,畢業,四技會資,106,日四技,3
4058,畢業,四技會資,106,日四技,3
4059,畢業,四技會資,106,日四技,5
4060,畢業,四技會資,106,日四技,1
4061,畢業,四技會資,106,日四技,5
4062,畢業,四技會資,106,日四技,3
4063,畢業,四技會資,106,日四技,1
4064,畢業,四技會資,106,日四技,5
4065,畢業,四技會資,106,日四技,3
4066,畢業,四技會資,106,日四技,1
4067,畢業,四技會資,106,日四技,3
4068,畢業,四技會資,106,日四技,1
4069,畢業,四技會資,106,日四技,3
